"LD1","LD2","LD3","NoiseCondition"
-1.24289889183856,1.01393440594784,-0.092749083982654,"Baseline"
-1.19075410012228,1.03134141003655,-0.111300252450228,"Baseline"
-1.19100131127648,1.03118536532186,-0.111239344057186,"Baseline"
-1.26226923107746,0.986199603054722,-0.0936802072750329,"Baseline"
-1.03371448211016,1.11496016454502,-0.155695624141532,"Baseline"
-1.18296800508226,1.02074830146967,-0.118922233920463,"Baseline"
-1.24569571249218,0.965645444864348,-0.109170879593805,"Baseline"
-1.24904301614883,0.963532558632305,-0.108346164028617,"Baseline"
-1.21890141162619,0.967050702894938,-0.121476141942919,"Baseline"
-1.23194592649055,0.958816739476095,-0.11826220751913,"Baseline"
-1.24477461380778,0.950719010800082,-0.115101449130676,"Baseline"
-1.36907355494879,0.872258987947702,-0.0844764201489558,"Baseline"
-1.21317595951064,0.955156874551514,-0.128590417967686,"Baseline"
-1.24724721848615,0.933650402064393,-0.120195871047252,"Baseline"
-1.25418133617759,0.92927344577227,-0.118487428856887,"Baseline"
-1.34635642374097,0.871090653463216,-0.0957771410450331,"Baseline"
-1.24798463958866,0.917677076536791,-0.125717811065039,"Baseline"
-1.25303762442193,0.914487529611836,-0.124472846260491,"Baseline"
-1.30842794954393,0.879524028434925,-0.110825663938611,"Baseline"
-1.24999195460914,0.900902168108246,-0.130926872005302,"Baseline"
-1.26353936442801,0.892350767153244,-0.127589033287438,"Baseline"
-1.35023455506363,0.837626997376752,-0.106228893760749,"Baseline"
-1.22832577960676,0.899070448665375,-0.141968656148139,"Baseline"
-1.23612940458606,0.89414464166664,-0.14004598296235,"Baseline"
-1.25097977493074,0.884770785494464,-0.136387118148055,"Baseline"
-1.2788406564236,0.867184429741543,-0.129522696815559,"Baseline"
-1.25383662852652,0.867459631017316,-0.141386868025401,"Baseline"
-1.28547841942225,0.847486688255459,-0.133590898451406,"Baseline"
-1.25892836359794,0.84873777384197,-0.145835983204382,"Baseline"
-1.28472791203335,0.832452573491579,-0.139479437353736,"Baseline"
-1.26689292658763,0.8282025291828,-0.149577285127284,"Baseline"
-1.3062822845202,0.803339164337042,-0.139872454038756,"Baseline"
-1.35530157543352,0.772397189691391,-0.127794980239678,"Baseline"
-1.26284332318524,0.815250871004909,-0.156278662096449,"Baseline"
-1.28627874661621,0.800457954499988,-0.150504594230834,"Baseline"
-1.293577109729,0.795851079080471,-0.148706408503775,"Baseline"
-1.30797092287461,0.786765411109605,-0.145160031191987,"Baseline"
-1.27702412686654,0.790791808634639,-0.158488393841918,"Baseline"
-1.29146567774157,0.781676007636836,-0.154930254810088,"Baseline"
-1.25764186523844,0.787518436560665,-0.168967462706273,"Baseline"
-1.28103056832428,0.772755010888995,-0.163204905895462,"Baseline"
-1.30538998877049,0.757378848651927,-0.15720318174323,"Baseline"
-1.30594107463488,0.757030992032097,-0.157067404073577,"Baseline"
-1.30284648819774,0.743476507697922,-0.163533481996986,"Baseline"
-1.34857486176335,0.714611827097872,-0.152266831188232,"Baseline"
-1.4580060556826,0.645536629056345,-0.125304948371553,"Baseline"
-1.32264762759134,0.715469774974412,-0.164358463860468,"Baseline"
-1.3810365473302,0.663105649501459,-0.155676108971393,"Baseline"
-1.39392692432597,0.654968981044106,-0.152500151352952,"Baseline"
-1.35576994660628,0.663546592092523,-0.167604973414804,"Baseline"
-1.31335150594123,0.674814125331821,-0.183759743489153,"Baseline"
-1.35668324464628,0.647462249460451,-0.173083580510701,"Baseline"
-1.34297337943803,0.640608345254478,-0.182165072668778,"Baseline"
-1.34002964662332,0.626958639041864,-0.188593982966168,"Baseline"
-1.37291592553736,0.606200150100294,-0.180491393872504,"Baseline"
-1.42263125454661,0.574818822034479,-0.168242428774588,"Baseline"
-1.35774833037766,0.600266394724658,-0.189932044536685,"Baseline"
-1.35985738333912,0.598935117546961,-0.189412411726657,"Baseline"
-1.37623187468708,0.588599205160552,-0.185378030842243,"Baseline"
-1.39705131735092,0.544441848365327,-0.191655748396845,"Baseline"
-1.46471687135782,0.501729972745426,-0.174984169914333,"Baseline"
-1.40304856462235,0.525148413449626,-0.195881761616034,"Baseline"
-1.38119013605962,0.5079301980581,-0.212674540933785,"Baseline"
-1.40567611127864,0.492474151871293,-0.20664163595612,"Baseline"
-1.42606570581842,0.479603824587273,-0.201618005682409,"Baseline"
-1.66683747252673,0.327623782402436,-0.142296162183705,"Baseline"
-1.47478591053025,0.433342788931577,-0.195317848704278,"Baseline"
-1.66244485320911,0.314888642855356,-0.149082052120144,"Baseline"
-1.73191502871801,0.271037653394368,-0.131965847277245,"Baseline"
-1.42612418355404,0.433043361316808,-0.218714479858443,"Baseline"
-1.43831994639663,0.425345147457959,-0.215709662704893,"Baseline"
-1.53180154657942,0.366337657777918,-0.192677473624477,"Baseline"
-1.4375339854311,0.410333411713623,-0.221606936732415,"Baseline"
-1.57194218299567,0.309984370032411,-0.194194795690611,"Baseline"
-1.47026349865835,0.327642475222021,-0.236357481279234,"Baseline"
-1.46713504978464,0.314109365547383,-0.242831902299472,"Baseline"
-1.58908482944157,-0.0109934237137942,-0.304043702111359,"Baseline"
-1.62514877366636,-0.304662113401438,-0.563181034615125,"Baseline"
-1.83648177845558,-0.453567659887579,-0.516816001223293,"Baseline"
0.286815357685995,0.855685030313409,-1.05136557502491,"Baseline"
-1.65504267608033,-0.401071004914733,-0.584333850138059,"Baseline"
-1.74236846309722,-0.549239921834257,-0.597040107058724,"Baseline"
-1.59164093555639,-0.469605487369689,-0.639880292906575,"Baseline"
-1.80242600434753,-0.602657315184786,-0.58794663376688,"Baseline"
-1.65941624990932,-0.527894496266114,-0.628885298791043,"Baseline"
-1.7314230133552,-0.573346631687605,-0.611144124190787,"Baseline"
-1.75247528694283,-0.586635255481322,-0.605957221689172,"Baseline"
-1.44293325389834,-0.406753871069124,-0.687926452315042,"Baseline"
-1.68761930011094,-0.561204686186843,-0.627640200574715,"Baseline"
-1.65134193320432,-0.553813523759733,-0.642281920255355,"Baseline"
-1.54231709737638,-0.500502677531427,-0.674847311075997,"Baseline"
-1.61723939858214,-0.547795159758512,-0.656387800280965,"Baseline"
0.282627689952399,0.635931784809387,-1.13018459168617,"Baseline"
-1.40166596765231,-0.427228670562985,-0.715204853287974,"Baseline"
-1.51471420701398,-0.498587021344712,-0.687351795369679,"Baseline"
-0.794543578132841,-0.0595085052640006,-0.870492544697014,"Baseline"
-1.21137354701643,-0.322620069883532,-0.767793118939016,"Baseline"
-1.51632193730739,-0.515109703756447,-0.692659306817524,"Baseline"
-0.488857235671704,0.117939088735307,-0.951511802340205,"Baseline"
-0.923717041868282,-0.156553276352966,-0.844370148151479,"Baseline"
-1.0361857142569,-0.227545792659093,-0.816659885137014,"Baseline"
-1.50884213052074,-0.525896147706069,-0.700205824357412,"Baseline"
-1.55375406444797,-0.554245474980527,-0.689140329627363,"Baseline"
-1.4195892588996,-0.485065767918276,-0.727899757937145,"Baseline"
-1.49145286667717,-0.53042754056673,-0.710193854325125,"Baseline"
-1.30443492254633,-0.427885856138188,-0.761975347714501,"Baseline"
-1.58937529235821,-0.607746020044517,-0.691771152864191,"Baseline"
-0.805999000340006,-0.128770802281462,-0.890484643581058,"Baseline"
-1.34111092181948,-0.466544344054675,-0.758642666864771,"Baseline"
-1.73484768244328,-0.71507900535415,-0.661632993294079,"Baseline"
-0.732305908797978,-0.097762072536528,-0.91434492651584,"Baseline"
-1.10714419044381,-0.334367629059444,-0.821991499097351,"Baseline"
-1.40630752695112,-0.523205619178189,-0.74828302043533,"Baseline"
-1.3308314104507,-0.491071407770277,-0.772582608729633,"Baseline"
-1.46641614878899,-0.576655255635785,-0.739176961803177,"Baseline"
-1.72344941956947,-0.7388998903377,-0.675848575457646,"Baseline"
-0.773316404475852,-0.154664433161651,-0.915647930866531,"Baseline"
-1.24891934149454,-0.454874692111574,-0.798467900238078,"Baseline"
-0.934281512914192,-0.271776737787161,-0.881692643457524,"Baseline"
-1.18433709553291,-0.445124763939793,-0.825787061631493,"Baseline"
-1.24225075391691,-0.481681044456441,-0.811518175266362,"Baseline"
-2.20517804804682,-1.08950036141186,-0.574270166399076,"Baseline"
-1.29761737466203,-0.532137433258924,-0.803580460624622,"Baseline"
-1.31417411287931,-0.542588383580495,-0.799501177381398,"Baseline"
-0.487457416563438,-0.0517636703585173,-1.01459659347023,"Baseline"
-0.616352666498278,-0.133124976920072,-0.982839116466608,"Baseline"
-1.15380358757517,-0.472374942870194,-0.850420852214792,"Baseline"
-1.12970076364128,-0.47266859988796,-0.862062982937099,"Baseline"
-1.45076844996888,-0.690840911980997,-0.788661292824272,"Baseline"
2.98940852306423,2.09638136215506,-1.88834486267805,"Baseline"
