"PC1","PC2","PC3","NoiseCondition"
-0.0474233573391075,0.558587205072824,-0.24187448862854,"Baseline"
-0.0519680014597915,0.562797993912684,-0.237067376141839,"Baseline"
-0.0581578405750044,0.568533119650745,-0.23052005315873,"Baseline"
-0.0379663357821491,0.551965791515747,-0.242111479594509,"Baseline"
-0.0493959937744642,0.562555812436947,-0.230021720705906,"Baseline"
-0.0516019183496696,0.564599687014622,-0.227688396624065,"Baseline"
-0.0566301403849739,0.569258529526455,-0.222369777984202,"Baseline"
-0.0471999092019649,0.562661938288716,-0.22257843134271,"Baseline"
-0.0375413854323935,0.555853825125345,-0.223028561946598,"Baseline"
-0.0384007749815516,0.55665008283587,-0.222119539782707,"Baseline"
-0.0339411726760417,0.554658971818067,-0.217070493856242,"Baseline"
-0.0360487830433174,0.556611754473348,-0.214841161955968,"Baseline"
-0.0280285312867366,0.551321563797583,-0.213558404870274,"Baseline"
-0.0296593824547485,0.552832610584829,-0.211833366604237,"Baseline"
-0.0249221647375445,0.550584278133115,-0.207077969306052,"Baseline"
-0.0260739280847518,0.551651431494257,-0.205859687781458,"Baseline"
-0.024071817232971,0.551937281512922,-0.198211222067772,"Baseline"
-0.0064906993627857,0.537788577989621,-0.20704150302376,"Baseline"
-0.00803465720124746,0.539219114740743,-0.205408376467067,"Baseline"
-0.00860308057443952,0.539745781017044,-0.204807124746923,"Baseline"
-0.0182055843989606,0.548642872816812,-0.194650044277551,"Baseline"
-0.00878768796555792,0.542057710202439,-0.194845650513495,"Baseline"
-0.00443455371651221,0.540165245963581,-0.189683987644961,"Baseline"
-0.0110576236775279,0.546301776863883,-0.182678413288767,"Baseline"
0.00607399396389589,0.53256955271642,-0.191033233877546,"Baseline"
0.00195935889251783,0.536381921513307,-0.186680964897932,"Baseline"
0.015161995442373,0.526290050558099,-0.190879892623872,"Baseline"
0.00640119694027878,0.534407269768505,-0.181613128768544,"Baseline"
0.0138925863490524,0.529607090546406,-0.179770965769345,"Baseline"
0.0115272333441016,0.531798681740586,-0.177269005733838,"Baseline"
0.00149405659544593,0.541094808689074,-0.166656379541563,"Baseline"
0.0596660778364558,0.510745893535788,-0.120759772519512,"Baseline"
0.0387222571724842,0.530151154756242,-0.0986063763108245,"Baseline"
0.0467973116575211,0.526951070515204,-0.0876153818447304,"Baseline"
0.0554471256929304,0.521077565998512,-0.0869985463606722,"Baseline"
0.176824842685483,0.453574957964846,-0.0102959234796377,"Baseline"
0.177538581318029,0.45505453475689,-0.0012846777510296,"Baseline"
0.592495283951746,0.523553790239005,0.0292884821479172,"Baseline"
0.635281165740401,0.503178962784483,0.0719274192292787,"Baseline"
0.653681943933698,0.492552578789182,0.0817625501295147,"Baseline"
0.661761552566265,0.487207391668298,0.082982522281527,"Baseline"
0.693260057814242,0.460163689572131,0.0594310783764893,"Baseline"
0.683107035174256,0.469570858381833,0.0701704719603116,"Baseline"
0.662467815340274,0.488693895132895,0.0920016756244531,"Baseline"
0.670737688869613,0.483172420214183,0.0930203944468822,"Baseline"
0.690248876795603,0.467235432012191,0.0821485754476331,"Baseline"
0.677006927441261,0.479504611089485,0.0961552915730603,"Baseline"
0.69370116482216,0.466177636697754,0.0882631114146379,"Baseline"
0.680606597970104,0.478310260177,0.102113933206374,"Baseline"
0.678305106196307,0.480442681466497,0.104548343811486,"Baseline"
0.705535537903951,0.457353514852996,0.0855114689387113,"Baseline"
0.695901073964524,0.466280218937377,0.0957023553262939,"Baseline"
0.69088955861732,0.470923582055458,0.101003302411058,"Baseline"
0.693177414381762,0.470944678342626,0.108349520489685,"Baseline"
0.704413472297444,0.462674918678331,0.106230747877625,"Baseline"
0.701315401995117,0.465545400834407,0.109507742079924,"Baseline"
0.708549360704955,0.460983741127881,0.111622203260115,"Baseline"
0.704183162287692,0.465029193110435,0.116240564208448,"Baseline"
