"Observation","Cluster","NoiseCondition"
350,3,"Baseline"
351,3,"Baseline"
352,3,"Baseline"
353,3,"Baseline"
354,3,"Baseline"
355,3,"Baseline"
356,3,"Baseline"
357,3,"Baseline"
358,3,"Baseline"
359,3,"Baseline"
360,3,"Baseline"
361,3,"Baseline"
362,3,"Baseline"
363,3,"Baseline"
364,3,"Baseline"
365,3,"Baseline"
366,3,"Baseline"
367,3,"Baseline"
368,3,"Baseline"
369,3,"Baseline"
370,3,"Baseline"
371,3,"Baseline"
372,3,"Baseline"
373,3,"Baseline"
374,3,"Baseline"
375,3,"Baseline"
376,3,"Baseline"
377,3,"Baseline"
378,3,"Baseline"
379,3,"Baseline"
380,3,"Baseline"
381,3,"Baseline"
382,3,"Baseline"
383,3,"Baseline"
384,3,"Baseline"
385,3,"Baseline"
386,3,"Baseline"
387,3,"Baseline"
388,3,"Baseline"
389,3,"Baseline"
390,3,"Baseline"
391,3,"Baseline"
392,3,"Baseline"
393,3,"Baseline"
394,3,"Baseline"
395,3,"Baseline"
396,3,"Baseline"
397,3,"Baseline"
398,3,"Baseline"
399,3,"Baseline"
400,3,"Baseline"
401,3,"Baseline"
402,3,"Baseline"
403,3,"Baseline"
404,3,"Baseline"
405,3,"Baseline"
406,3,"Baseline"
407,3,"Baseline"
408,3,"Baseline"
409,3,"Baseline"
410,3,"Baseline"
411,3,"Baseline"
412,3,"Baseline"
413,3,"Baseline"
414,3,"Baseline"
415,3,"Baseline"
416,3,"Baseline"
417,3,"Baseline"
418,3,"Baseline"
419,3,"Baseline"
420,3,"Baseline"
421,3,"Baseline"
422,3,"Baseline"
423,3,"Baseline"
424,3,"Baseline"
425,1,"Baseline"
426,3,"Baseline"
427,3,"Baseline"
428,3,"Baseline"
429,3,"Baseline"
430,3,"Baseline"
431,1,"Baseline"
432,1,"Baseline"
433,1,"Baseline"
434,1,"Baseline"
435,1,"Baseline"
436,1,"Baseline"
437,1,"Baseline"
438,1,"Baseline"
439,1,"Baseline"
440,1,"Baseline"
441,1,"Baseline"
442,1,"Baseline"
443,1,"Baseline"
444,1,"Baseline"
445,1,"Baseline"
446,1,"Baseline"
447,1,"Baseline"
448,1,"Baseline"
449,1,"Baseline"
450,1,"Baseline"
451,1,"Baseline"
452,1,"Baseline"
453,1,"Baseline"
454,1,"Baseline"
455,1,"Baseline"
456,1,"Baseline"
457,1,"Baseline"
458,1,"Baseline"
459,1,"Baseline"
460,1,"Baseline"
461,1,"Baseline"
462,1,"Baseline"
463,1,"Baseline"
464,1,"Baseline"
465,1,"Baseline"
466,1,"Baseline"
467,1,"Baseline"
468,1,"Baseline"
469,1,"Baseline"
470,1,"Baseline"
471,1,"Baseline"
472,2,"3 dBm"
473,2,"3 dBm"
474,2,"3 dBm"
475,2,"3 dBm"
476,2,"3 dBm"
477,2,"3 dBm"
478,2,"3 dBm"
479,2,"3 dBm"
480,2,"3 dBm"
481,2,"3 dBm"
482,2,"3 dBm"
483,2,"3 dBm"
484,2,"3 dBm"
485,2,"3 dBm"
486,2,"3 dBm"
487,2,"3 dBm"
488,2,"3 dBm"
489,2,"3 dBm"
490,2,"3 dBm"
491,2,"3 dBm"
492,2,"3 dBm"
493,2,"3 dBm"
494,2,"3 dBm"
495,2,"3 dBm"
496,2,"3 dBm"
497,2,"3 dBm"
498,2,"3 dBm"
499,2,"3 dBm"
500,2,"3 dBm"
501,2,"3 dBm"
502,2,"3 dBm"
503,2,"3 dBm"
504,2,"3 dBm"
505,2,"3 dBm"
506,2,"3 dBm"
507,2,"3 dBm"
508,2,"3 dBm"
509,2,"3 dBm"
510,2,"3 dBm"
511,2,"3 dBm"
512,2,"3 dBm"
513,2,"3 dBm"
514,2,"3 dBm"
515,2,"3 dBm"
516,2,"3 dBm"
517,2,"3 dBm"
518,2,"3 dBm"
519,2,"3 dBm"
520,2,"3 dBm"
521,2,"3 dBm"
522,2,"3 dBm"
523,2,"3 dBm"
524,2,"3 dBm"
525,2,"3 dBm"
526,2,"3 dBm"
527,2,"3 dBm"
528,2,"3 dBm"
529,2,"3 dBm"
530,2,"3 dBm"
531,2,"3 dBm"
532,2,"3 dBm"
533,2,"3 dBm"
534,2,"3 dBm"
535,2,"3 dBm"
536,2,"3 dBm"
537,2,"3 dBm"
538,2,"3 dBm"
539,2,"3 dBm"
540,2,"3 dBm"
541,2,"3 dBm"
542,2,"3 dBm"
543,2,"3 dBm"
544,2,"3 dBm"
545,2,"3 dBm"
546,2,"3 dBm"
547,2,"3 dBm"
548,2,"3 dBm"
549,2,"3 dBm"
550,2,"3 dBm"
551,2,"3 dBm"
552,2,"3 dBm"
553,2,"3 dBm"
554,2,"3 dBm"
555,2,"3 dBm"
556,2,"3 dBm"
557,2,"3 dBm"
558,2,"3 dBm"
559,2,"3 dBm"
560,2,"3 dBm"
561,2,"3 dBm"
562,2,"3 dBm"
563,2,"3 dBm"
564,2,"3 dBm"
565,2,"3 dBm"
566,2,"3 dBm"
567,2,"3 dBm"
568,2,"3 dBm"
569,2,"3 dBm"
570,2,"3 dBm"
571,2,"3 dBm"
572,2,"3 dBm"
573,2,"3 dBm"
574,2,"3 dBm"
575,2,"3 dBm"
576,2,"3 dBm"
577,2,"3 dBm"
578,2,"3 dBm"
579,2,"3 dBm"
580,2,"3 dBm"
581,2,"3 dBm"
582,2,"3 dBm"
583,2,"3 dBm"
584,2,"3 dBm"
585,2,"3 dBm"
586,2,"3 dBm"
587,2,"3 dBm"
588,2,"3 dBm"
589,2,"3 dBm"
